Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4787037,sub,COGS,Folks,BO,Misc,,,Meal Break,Rigging,,5/27/24,1,5/27/24 13:30,5/27/24 14:30,BO - PayPeriod 10 - 05/16/2024
4787044,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,5/27/24,0.5,5/27/24 17:00,5/27/24 17:30,BO - PayPeriod 10 - 05/16/2024
4787066,sub,COGS,Folks,MT,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.5,5/27/24 10:00,5/27/24 10:30,MT - PayPeriod 12 - 05/19/2024
4787074,sub,COGS,Folks,BO,Verne,JV203,ANIM- Blocking,Worktime,Rigging,ANM - Animation (Shot),5/27/24,1,5/27/24 11:30,5/27/24 12:30,BO - PayPeriod 10 - 05/16/2024
4787076,sub,COGS,Folks,BO,Verne,JV203,ANIM- Blocking,Worktime,Rigging,ANM - Animation (Shot),5/27/24,2.5,5/27/24 14:30,5/27/24 17:00,BO - PayPeriod 10 - 05/16/2024
4787078,sub,COGS,Folks,BO,Verne,JV203,ANIM- Blocking,Worktime,Rigging,ANM - Animation (Shot),5/27/24,1.5,5/27/24 17:30,5/27/24 19:00,BO - PayPeriod 10 - 05/16/2024
4787112,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 9:00,5/27/24 10:20,TO - PayPeriod 12 - 05/19/2024
4787113,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 10:20,5/27/24 11:40,TO - PayPeriod 12 - 05/19/2024
4787114,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 11:40,5/27/24 13:00,TO - PayPeriod 12 - 05/19/2024
4787115,sub,COGS,Folks,TO,GladiatorSportsStoryUP,ASS103,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,1.333333,5/27/24 13:00,5/27/24 14:20,TO - PayPeriod 12 - 05/19/2024
