Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4694692,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,2,04/11/2024 11:00,04/11/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4694693,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,2,04/11/2024 14:00,04/11/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4694694,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,2,04/11/2024 16:00,04/11/2024 18:00,MT - PayPeriod 9 - 04/07/2024
4694701,sub,COGS,Folks,TO,Fairview,FVW103,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 13:30,04/12/2024 14:00,TO - PayPeriod 9 - 04/07/2024
4694711,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 11:00,04/12/2024 13:00,TO - PayPeriod 9 - 04/07/2024
4694718,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 13:45,04/12/2024 14:45,SG - PayPeriod 9 - 04/07/2024
4694732,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 14:00,04/12/2024 15:30,TO - PayPeriod 9 - 04/07/2024
4694733,sub,COGS,Fuse,LA,Monster,MTR201,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 15:00,04/12/2024 16:00,LA - PayPeriod 9 - 04/08/2024
4694734,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,2.5,04/09/2024 10:15,04/09/2024 12:45,TO - PayPeriod 9 - 04/07/2024
4694735,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,8,04/11/2024 10:00,04/11/2024 18:00,TO - PayPeriod 9 - 04/07/2024
4694736,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,1,04/10/2024 09:30,04/10/2024 10:30,TO - PayPeriod 9 - 04/07/2024
4694739,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 16:00,04/12/2024 18:00,TO - PayPeriod 9 - 04/07/2024
4694752,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 16:30,04/12/2024 18:00,TO - PayPeriod 9 - 04/07/2024
4694758,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 14:45,04/12/2024 15:45,SG - PayPeriod 9 - 04/07/2024
4694761,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 14:30,04/12/2024 15:00,SG - PayPeriod 9 - 04/07/2024
4694791,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 11:00,04/12/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4694793,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 10:30,04/12/2024 11:00,MT - PayPeriod 9 - 04/07/2024
4694796,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 14:00,04/12/2024 15:00,MT - PayPeriod 9 - 04/07/2024
